"city","country","pop2023","latitude","longitude","fill"
"Pantin","France",52922,48.8944,2.40935
"Saint-Brieuc","France",52774,48.5151,-2.76838
"Montauban","France",52434,44.0176,1.3542
"Charleville-Mezieres","France",52415,49.7685,4.72487
"Albi","France",52409,43.9298,2.148
"Tarbes","France",52106,43.2341,0.07139
"Fontenay-sous-Bois","France",52075,48.8544,2.48268
"Evry","France",51900,48.6328,2.44049
"Clamart","France",51400,48.803,2.26692
"Marseille 10","France",51299,43.2789,5.41523
"Chalons-en-Champagne","France",51257,48.9539,4.36724
"Narbonne","France",50776,43.184,3.00141
"Saint-Malo","France",50676,48.6474,-2.00877
"Laval","France",50489,48.0725,-0.77019
"Hyeres","France",50487,43.1204,6.12857
"Carcassonne","France",49600,43.2165,2.34863
"Angouleme","France",49468,45.65,0.15345
"Annecy","France",49232,45.9088,6.12565
"Bondy","France",48268,48.9018,2.48931
"Le Blanc-Mesnil","France",48077,48.9387,2.46138
"Villejuif","France",48048,48.7939,2.35992
"Grasse","France",47581,43.6578,6.92537
"Sevran","France",47334,48.9447,2.52746
"Castres","France",47275,43.6053,2.24088
"Chalon-sur-Saone","France",47251,46.7811,4.85372
"Marseille 04","France",47193,43.3021,5.40141
"Arras","France",47052,50.293,2.78186
"Boulogne-sur-Mer","France",47013,50.7257,1.61392
"Chelles","France",46947,48.8811,2.59295
"Cagnes-sur-Mer","France",46923,43.6635,7.1479
"Saint-Herblain","France",46898,47.2115,-1.651
"Douai","France",46531,50.3707,3.07922
"Epinay-sur-Seine","France",46145,48.9535,2.31514
"Vincennes","France",45923,48.8486,2.43769
"Martigues","France",45749,43.4073,5.05526
"Marseille 03","France",45414,43.3026,5.37583
"Bourg-en-Bresse","France",45340,46.2057,5.2258
"Bobigny","France",44962,48.9098,2.45012
"Montlucon","France",44960,46.3401,2.60254
"Aubagne","France",44844,43.2928,5.57067
"Valenciennes","France",44821,50.3591,3.52506
"Suresnes","France",44697,48.8714,2.22929
"Meudon","France",44652,48.8138,2.235
"Marseille 05","France",44583,43.2955,5.40055
"Bayonne","France",44396,43.4932,-1.473
"Istres","France",44373,43.5135,4.98747
"Thionville","France",44311,49.3599,6.16044
"Mantes-la-Jolie","France",44263,48.9905,1.7167
"Compiegne","France",44243,49.4179,2.82606
"Nevers","France",43988,46.9896,3.159
"Chartres","France",43838,48.4468,1.48925
"Marseille 06","France",43360,43.2876,5.37918
"Le Cannet","France",43353,43.5766,7.01912
"Wattrelos","France",42826,50.7012,3.21812
"Caluire-et-Cuire","France",42763,45.7946,4.8464
"Gap","France",42715,44.5586,6.07868
"Talence","France",42579,44.8085,-0.58915
"Ales","France",42410,44.1249,4.08082
"Gennevilliers","France",42294,48.9333,2.3
"Saint-Priest","France",41641,45.6965,4.94385
"Rosny-sous-Bois","France",41627,48.8702,2.4991
"Auxerre","France",41516,47.7996,3.57033
"Salon-de-Provence","France",41397,43.6423,5.09478
"Saint-Germain-en-Laye","France",41142,48.8964,2.0904
"Bastia","France",41001,42.7028,9.45
"Marseille 01","France",40919,43.2981,5.38407
"Sete","France",40736,43.4028,3.69278
"Anglet","France",40658,43.4892,-1.51921
"Puteaux","France",40646,48.8834,2.23894
"Corbeil-Essonnes","France",40527,48.606,2.48757
"Garges-les-Gonesse","France",39847,48.9679,2.39781
"Roanne","France",39840,46.0362,4.06802
"Savigny-sur-Orge","France",39698,48.6768,2.34835
"Livry-Gargan","France",39518,48.9193,2.54305
"Epinal","France",39518,48.1832,6.45304
"Saint-Ouen","France",39353,48.9065,2.33339
"Reze","France",39248,47.1906,-1.56885
"Montigny-le-Bretonneux","France",39063,48.7664,2.03405
"Noisy-le-Sec","France",38955,48.8915,2.46451
"Melun","France",38953,48.5457,2.65356
"Bagneux","France",38900,48.7957,2.30796
"Massy","France",38768,48.7269,2.28301
"Haguenau","France",38721,48.8156,7.79051
"Montrouge","France",38708,48.8162,2.31393
"Marcq-en-Baroeul","France",38629,50.6667,3.08333
"Vitrolles","France",38591,43.46,5.24861
"Draguignan","France",38573,43.5369,6.46458
"Lens","France",38265,50.433,2.82791
"Gagny","France",38134,48.8833,2.53333
"Saint-Chamond","France",38014,45.4759,4.51294
"Bron","France",37825,45.7387,4.91303
"Vaulx-en-Velin","France",37489,45.7869,4.9251
"Joue-les-Tours","France",37466,47.3491,0.66513
"Alfortville","France",37290,48.8058,2.4204
"La Courneuve","France",37287,48.9281,2.39627
"Chatellerault","France",37210,46.8171,0.54518
"Villepinte","France",37114,48.962,2.53253
"Cambrai","France",36492,50.176,3.23472
"Poissy","France",36431,48.929,2.04952
"Conflans-Sainte-Honorine","France",36358,49.0016,2.09694
"Mont-de-Marsan","France",36205,43.8902,-0.49713
"Plaisir","France",36121,48.8232,1.9541
"Marseille 07","France",35981,43.2829,5.36021
"Marignane","France",35873,43.4173,5.21462
"Dieppe","France",35707,49.9216,1.07772
"Montelimar","France",35637,44.5547,4.75469
"Tremblay-en-France","France",35591,48.9496,2.5684
"Choisy-le-Roi","France",35590,48.7685,2.41874
"Saint-Martin-d'Heres","France",35528,45.1787,5.76281
"Macon","France",35484,46.3141,4.82823
"Romans-sur-Isere","France",35002,45.0496,5.06602
"Saint-Raphael","France",34918,43.4233,6.7735
"Pontault-Combault","France",34798,48.7981,2.60676
"Six-Fours-les-Plages","France",34779,43.0917,5.82465
"Perigueux","France",34770,45.1869,0.71439
"Aurillac","France",34724,44.9254,2.43983
"Neuilly-sur-Marne","France",34465,48.8537,2.54903
"Lievin","France",34370,50.4198,2.78068
"Agen","France",34367,44.202,0.62055
"Franconville","France",34284,48.9833,2.23333
"Sainte-Genevieve-des-Bois","France",33689,48.6468,2.31965
"Maubeuge","France",33684,50.2788,3.97267
"Bagnolet","France",33504,48.8667,2.41667
"Saumur","France",33229,47.2593,-0.07808
"Biarritz","France",33188,43.4805,-1.55684
"La Ciotat","France",33113,43.1748,5.60449
"Echirolles","France",33088,45.146,5.71441
"Villefranche-sur-Saone","France",32994,45.9897,4.71961
"Chatenay-Malabry","France",32715,48.7651,2.26655
"Stains","France",32601,48.95,2.38333
"Chatillon","France",32383,48.8024,2.29346
"Vienne","France",32293,45.5257,4.87484
"Schiltigheim","France",32289,48.6075,7.74931
"Les Mureaux","France",32134,48.9917,1.90972
"Le Perreux-sur-Marne","France",32015,48.85,2.5
"Guyancourt","France",31989,48.7733,2.07393
"Palaiseau","France",31987,48.7183,2.2498
"Saint-Dizier","France",31918,48.6377,4.94892
"Creil","France",31863,49.2567,2.48477
"Vandoeuvre-les-Nancy","France",31785,48.6612,6.17114
"Thonon-les-Bains","France",31684,46.3705,6.47985
"Bethune","France",31568,50.5297,2.64003
"Colomiers","France",31363,43.6106,1.33467
"Nogent-sur-Marne","France",31236,48.8367,2.48255
"Athis-Mons","France",31225,48.7052,2.39147
"Viry-Chatillon","France",31131,48.6721,2.39318
"Houilles","France",31121,48.9216,2.19263
"Soissons","France",31100,49.3817,3.32361
"Dreux","France",31058,48.7365,1.36566
"Charenton-le-Pont","France",30910,48.8221,2.41217
"Villeneuve-Saint-Georges","France",30881,48.7322,2.44925
"Elancourt","France",30831,48.7842,1.9552
"Alencon","France",30786,48.4348,0.09311
"Sotteville-les-Rouen","France",30619,49.4097,1.09005
"Orange","France",30530,44.1381,4.81025
"Villenave-d'Ornon","France",30347,44.7794,-0.56707
"Pontoise","France",30290,49.05,2.1
"Villiers-sur-Marne","France",30252,48.831,2.54844
"Chatou","France",30091,48.8898,2.15863
"Goussainville","France",30047,49.0137,2.46595
"Lomme","France",29892,50.6436,2.98715
"Vierzon","France",29876,47.2219,2.0684
"Saint-Medard-en-Jalles","France",29742,44.8955,-0.71779
"Thiais","France",29724,48.765,2.3961
"Carpentras","France",29709,44.0551,5.04813
"L'Hay-les-Roses","France",29703,48.7794,2.33729
"Menton","France",29649,43.7765,7.50435
"Saint-Laurent-du-Var","France",29516,43.6732,7.19
"Saintes","France",29512,45.7474,-0.63489
"Rochefort","France",29427,45.943,-0.96774
"Malakoff","France",29420,48.82,2.29998
"Draveil","France",29316,48.6847,2.41418
"Saint-Leu","France",29278,46.7306,4.50083
"Saint-Sebastien-sur-Loire","France",29238,47.2077,-1.50332
"Le Chesnay","France",29154,48.8222,2.12213
"Tournefeuille","France",29124,43.5887,1.31922
"Clichy-sous-Bois","France",29062,48.9102,2.55323
"Chaumont","France",28981,48.1112,5.14134
"Saint-Etienne-du-Rouvray","France",28953,49.3779,1.10467
"Meyzieu","France",28929,45.7664,5.00277
"Yerres","France",28897,48.7178,2.49338
"Montbeliard","France",28865,47.5096,6.79823
"Saint-Cloud","France",28839,48.846,2.20289
"Sens","France",28700,48.1974,3.28328
"Laon","France",28688,49.5631,3.62714
"Lambersart","France",28613,50.65,3.03333
"Trappes","France",28367,48.7741,2.01781
"Rodez","France",28337,44.3526,2.57338
"Bergerac","France",28317,44.8516,0.48171
"Annemasse","France",28275,46.1944,6.23775
"La Garde","France",28257,43.1247,6.01033
"Ermont","France",28117,48.99,2.25804
"Rillieux-la-Pape","France",28076,45.8167,4.9
"Villemomble","France",28001,48.8833,2.5
"Pierrefitte-sur-Seine","France",27914,48.9669,2.36104
"Le Kremlin-Bicetre","France",27867,48.8147,2.36073
"Champs-sur-Marne","France",27776,48.85,2.6
"Aix-les-Bains","France",27651,45.6917,5.90863
"Bezons","France",27570,48.9243,2.2128
"Vallauris","France",27286,43.578,7.05451
"Taverny","France",27271,49.0254,2.21691
"Illkirch-Graffenstaden","France",27261,48.5289,7.71523
"La Teste-de-Buch","France",27253,44.6328,-1.14513
"Epernay","France",27082,49.04,3.95922
"Villiers-le-Bel","France",27028,49.0088,2.39819
"Vichy","France",27019,46.1271,3.42577
"Sannois","France",26869,48.9667,2.25
"Gonesse","France",26758,48.9869,2.44892
"Vigneux-sur-Seine","France",26692,48.7029,2.41357
"Cavaillon","France",26689,43.8312,5.03586
"Rambouillet","France",26674,48.6437,1.82992
