Entity,Code,Annual C02 emissions (per capita)
Ukraine,UKR,4.6370573
United Arab Emirates,ARE,21.792141
United Kingdom,GBR,5.1540995
United States,USA,14.858668
Uruguay,URY,1.9665356
Uzbekistan,UZB,3.5688467
Vanuatu,VUT,0.54789656
Venezuela,VEN,2.8279076
Vietnam,VNM,3.344827
Wallis and Futuna,WLF,2.3869915
World,OWID_WRL,4.693699
Yemen,YEM,0.3782891
Zambia,ZMB,0.39419338
Zimbabwe,ZWE,0.7062929
